tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128701026,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Gurgaon,HR,UNKNOWN,2020-03-16 10:14:00,2020-03-20 08:07:00,93.88,4,7,82.4,23.47,True,RESIDENCE,1,True,11
390901883808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Bangalore,KA,UNKNOWN,2020-03-06 10:37:00,2020-03-09 14:20:00,75.72,3,7,60.13,25.24,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
391128749178,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Ahmedabad,GJ,UNKNOWN,2020-03-16 10:14:00,2020-03-19 09:59:00,71.75,5,8,56.43,14.35,True,RESIDENCE,1,True,12
390807986805,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,New Delhi,DL,UNKNOWN,2020-03-03 10:49:00,2020-03-07 08:54:00,94.08,3,6,81.62,31.36,True,RESIDENCE,1,True,10
390948921190,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Delhi,DL,UNKNOWN,2020-03-09 09:42:00,2020-03-13 09:14:00,95.53,4,7,83.0,23.88,True,RESIDENCE,1,True,11
390950106897,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mumbai,MH,UNKNOWN,2020-03-09 09:42:00,2020-03-12 10:30:00,72.8,5,8,59.9,14.56,True,UNKNOWN,0,True,12
391128762808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mumbai,MH,UNKNOWN,2020-03-16 10:14:00,2020-03-18 06:39:00,44.42,4,7,35.27,11.1,True,RESIDENCE,0,True,10
390807994538,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,New Delhi,DL,UNKNOWN,2020-03-03 10:49:00,2020-03-07 09:49:00,95.0,3,6,81.62,31.67,True,RESIDENCE,1,True,10
390950134073,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Delhi,DL,UNKNOWN,2020-03-09 09:42:00,2020-03-13 09:14:00,95.53,4,6,83.0,23.88,True,RESIDENCE,1,True,10
390950572730,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Bangalore,KA,UNKNOWN,2020-03-09 09:42:00,2020-03-10 10:00:00,24.3,3,5,10.8,8.1,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390839041400,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Delhi,DL,UNKNOWN,2020-03-04 10:43:00,2020-03-09 09:15:00,118.53,4,9,85.8,29.63,True,RESIDENCE,1,True,13
390807999654,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Bokaro steel City,JH,UNKNOWN,2020-03-03 10:49:00,2020-03-12 07:30:00,212.68,4,7,202.02,53.17,True,RECEPTIONIST_OR_FRONT_DESK,1,True,11
390767871261,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Gurugram,HR,UNKNOWN,2020-03-02 10:53:00,2020-03-11 13:00:00,218.12,3,11,159.02,72.71,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17
391018702750,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Lucknow,UP,UNKNOWN,2020-03-11 11:09:00,2020-03-18 13:56:00,170.78,4,8,138.55,42.7,True,RESIDENCE,1,True,13
390931993491,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,ahmedabad,GJ,UNKNOWN,2020-03-07 10:57:00,2020-03-11 09:01:00,94.07,5,9,81.92,18.81,True,RESIDENCE,1,True,13
391080326650,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Thane,MH,UNKNOWN,2020-03-13 11:44:00,2020-03-20 10:30:00,166.77,4,17,155.72,41.69,True,UNKNOWN,4,False,25
390870220230,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Hyderabad,TS,UNKNOWN,2020-03-05 13:50:00,2020-03-14 12:45:00,214.92,4,17,212.35,53.73,True,IN_BOND_OR_CAGE,1,True,24
